type,brickid,longitude,latitude
fcbk,BKI-7994,80.330733361,26.3646500677
fcbk,BKI-7995,80.2274100714,26.1321515269
fcbk,BKI-7996,80.2638390977,26.2959168039
fcbk,BKI-7997,88.7777862861,22.6205177241
fcbk,BKI-7998,88.7559660331,22.5769016827
fcbk,BKI-7999,88.8547111007,22.4489436816
fcbk,BKI-8000,88.9235747875,22.6481862198
zigzag,BKI-8001,88.8941420825,22.6700791396
zigzag,BKI-8002,88.7730490538,22.4898564503
zigzag,BKI-8003,83.6750975797,26.9454372989
fcbk,BKI-8004,83.6878052561,27.146669716
fcbk,BKI-8005,80.2658332151,26.1170346028
fcbk,BKI-8006,87.6857070932,21.6768777869
fcbk,BKI-8007,87.6635075545,21.7396018273
zigzag,BKI-8008,87.6437507408,21.7165725158
fcbk,BKI-8009,80.4773677093,26.15004965
fcbk,BKI-8010,87.7136038654,21.8390463359
fcbk,BKI-8011,80.6168061013,26.3731673944
fcbk,BKI-8012,80.3283190681,26.2727411216
fcbk,BKI-8013,80.4111184936,26.1037899241
fcbk,BKI-8014,80.359975245,26.3441670896
fcbk,BKI-8015,80.3037007354,26.3556947195
fcbk,BKI-8016,80.4917589714,26.2982410862
fcbk,BKI-8017,80.2894587568,26.3353458083
fcbk,BKI-8018,88.9713622493,22.4947398399
fcbk,BKI-8019,88.8649461866,22.5237470282
fcbk,BKI-8020,88.7229889709,22.5154090656
fcbk,BKI-8021,88.8969230342,22.6727363634
fcbk,BKI-8022,88.8904743362,22.674544217
fcbk,BKI-8023,83.0125530094,25.1591971275
fcbk,BKI-8024,83.2769066229,25.1121559611
fcbk,BKI-8025,82.9930910479,25.1543032935
fcbk,BKI-8026,82.7600144033,25.642797362
zigzag,BKI-8027,82.9341978244,25.1377623167
zigzag,BKI-8028,83.2695977707,25.0449462921
fcbk,BKI-8029,82.8180260726,25.7212317985
fcbk,BKI-8030,83.0110582893,25.1334434044
fcbk,BKI-8031,82.9946958487,25.1722839682
fcbk,BKI-8032,87.7941392257,21.8006548052
fcbk,BKI-8033,87.6414211445,21.8358877818
fcbk,BKI-8034,87.6916964664,21.7490919811
fcbk,BKI-8035,87.6838470965,21.7123865106
fcbk,BKI-8036,87.6704849038,21.7819125123
fcbk,BKI-8037,87.7151103231,21.7358263732
fcbk,BKI-8038,82.4764209514,25.776231446
fcbk,BKI-8039,82.7499134119,25.8921605004
fcbk,BKI-8040,80.3007785934,26.3556101073
zigzag,BKI-8041,80.3870468912,26.352749605
fcbk,BKI-8042,80.3067366694,26.3644127712
fcbk,BKI-8043,80.6221506462,26.0717217412
fcbk,BKI-8044,80.3413306963,26.3366467963
fcbk,BKI-8045,80.2424009448,26.3422906893
fcbk,BKI-8046,82.9909071753,25.1649018002
fcbk,BKI-8047,83.0302855142,25.1646192639
fcbk,BKI-8048,83.2630818783,25.0439101568
zigzag,BKI-8049,83.011976622,25.13450258
fcbk,BKI-8050,82.9860341727,25.1606071959
fcbk,BKI-8051,82.9291770027,25.1313354261
fcbk,BKI-8052,83.0191510878,25.1658288072
fcbk,BKI-8053,82.925815517,25.1339910574
zigzag,BKI-8054,82.9356709748,25.1299000099
fcbk,BKI-8055,82.9837934861,25.1734254801
zigzag,BKI-8056,88.2849845122,23.8035019956
fcbk,BKI-8057,83.0392833825,26.9759620069
fcbk,BKI-8058,82.974796312,26.9291962281
fcbk,BKI-8059,82.9896639573,26.985805935
fcbk,BKI-8060,83.2783250943,26.8122681114
fcbk,BKI-8061,82.9029150874,27.0710785763
fcbk,BKI-8062,80.2934339855,26.2180313546
fcbk,BKI-8063,80.2316164176,26.1356849365
fcbk,BKI-8064,80.5991152848,26.0232540743
zigzag,BKI-8065,80.3074708767,26.3598575097
fcbk,BKI-8066,80.1796585827,26.3824003801
fcbk,BKI-8067,80.6154324021,26.1021163384
fcbk,BKI-8068,80.3713225815,26.1667611001
fcbk,BKI-8069,80.6470238838,27.5145036895
fcbk,BKI-8070,80.8699910048,27.3506123794
fcbk,BKI-8071,78.123498999,29.5156385009
fcbk,BKI-8072,82.7632523228,25.8616764812
fcbk,BKI-8073,78.3593204595,29.4150787252
fcbk,BKI-8074,82.8100835635,25.8522513022
zigzag,BKI-8075,82.7855529699,25.7442256625
fcbk,BKI-8076,83.053539552,27.0925952741
fcbk,BKI-8077,83.0707208609,26.8202553276
fcbk,BKI-8078,80.2953880666,26.1066637372
fcbk,BKI-8079,80.305077004,26.3611289013
fcbk,BKI-8080,80.182312833,26.3761616406
fcbk,BKI-8081,80.3260309657,26.3527116483
fcbk,BKI-8082,78.3287286399,29.524914575
fcbk,BKI-8083,78.2675868119,29.4141516519
fcbk,BKI-8084,78.2279041347,29.5187542572
fcbk,BKI-8085,78.111235454,29.4587533621
fcbk,BKI-8086,80.9847577163,27.5100877657
fcbk,BKI-8087,80.7304904924,27.1973758203
fcbk,BKI-8088,80.9819757421,27.5115976673
fcbk,BKI-8089,82.5873889603,25.9377409657
fcbk,BKI-8090,87.0472305779,22.9268391577
fcbk,BKI-8091,78.2212409097,29.5198401767
fcbk,BKI-8092,78.2893161477,29.4201027111
fcbk,BKI-8093,78.3653429789,29.4690510332
fcbk,BKI-8094,78.2513785477,29.2322704698
fcbk,BKI-8095,78.2478431772,29.4940248239
fcbk,BKI-8096,78.3673450152,29.5014444319
fcbk,BKI-8097,78.2120974106,29.3992954357
fcbk,BKI-8098,78.1311024258,29.5122087075
fcbk,BKI-8099,80.8138255302,27.2781395237
fcbk,BKI-8100,80.9763942705,27.4964515148
fcbk,BKI-8101,80.9147128211,27.5071893762
fcbk,BKI-8102,82.6802124157,25.814926929
fcbk,BKI-8103,82.5283870249,25.5840114834
fcbk,BKI-8104,82.6108969372,25.8285390629
fcbk,BKI-8105,80.8597332786,27.2637651357
fcbk,BKI-8106,83.0321599294,26.9646776346
fcbk,BKI-8107,83.2859249273,26.9864050159
fcbk,BKI-8108,80.7493500604,27.3481310535
fcbk,BKI-8109,82.960381362,27.0676186095
fcbk,BKI-8110,78.3340192369,29.3239389594
fcbk,BKI-8111,78.2137542454,29.5502135375
fcbk,BKI-8112,78.2649191363,29.3708354318
zigzag,BKI-8113,77.9768893028,29.3105621023
fcbk,BKI-8114,78.2761906058,29.2044262226
fcbk,BKI-8118,86.8925108337,23.7331668493
fcbk,BKI-8119,80.9853835706,27.522834337
fcbk,BKI-8120,80.6704232326,27.3097640547
zigzag,BKI-8121,82.8166586563,25.6201644299
fcbk,BKI-8122,82.965186362,26.9098901618
fcbk,BKI-8123,81.0740255897,27.3630584349
zigzag,BKI-8124,82.7876585343,25.7431467773
zigzag,BKI-8125,83.0996652793,26.9964972437
fcbk,BKI-8126,83.1171656092,26.8871896697
fcbk,BKI-8130,82.2013786141,25.165886194
fcbk,BKI-8131,83.2858190992,26.8353250915
fcbk,BKI-8132,87.2629319768,21.9164938321
fcbk,BKI-8133,87.2683465721,21.935884573
fcbk,BKI-8134,87.0571519947,21.9698071043
zigzag,BKI-8135,88.4374691523,25.4509498756
fcbk,BKI-8136,80.8361106697,27.2106722561
fcbk,BKI-8137,80.8370246604,27.2947800338
fcbk,BKI-8138,80.6504256111,27.5654853483
zigzag,BKI-8139,81.0466837232,27.2636360669
fcbk,BKI-8140,80.6889830629,27.5248848741
fcbk,BKI-8141,80.9716265014,27.4745919817
fcbk,BKI-8142,80.999845612,27.2310888398
fcbk,BKI-8143,80.826417883,27.2789025065
fcbk,BKI-8144,80.9998158297,27.4136065733
fcbk,BKI-8145,82.9855489967,27.0867244264
fcbk,BKI-8146,83.001870863,27.0967900138
fcbk,BKI-8147,83.1485659125,27.0025308288
fcbk,BKI-8148,87.0042267142,23.7538412645
zigzag,BKI-8150,88.4720291526,25.4202202275
fcbk,BKI-8151,80.9235495771,27.5711112114
fcbk,BKI-8152,80.9758692162,27.5085645616
zigzag,BKI-8153,83.2186437215,26.7951053128
fcbk,BKI-8154,83.0173357503,26.8972102851
fcbk,BKI-8155,82.9260304957,27.0152462196
fcbk,BKI-8156,78.9269248108,28.1215826209
fcbk,BKI-8157,79.1590101441,28.2385130728
fcbk,BKI-8158,78.9189982142,28.1308599282
fcbk,BKI-8159,87.1235002347,23.7911413577
fcbk,BKI-8160,87.0506963787,23.6723877538
fcbk,BKI-8161,87.2610784918,23.779270123
fcbk,BKI-8162,87.1501695287,23.6326116571
fcbk,BKI-8163,78.9797404809,28.0982193972
fcbk,BKI-8164,79.0424224313,28.3061438132
fcbk,BKI-8165,79.1262520843,28.3274165943
fcbk,BKI-8166,78.9765814377,28.0472426503
fcbk,BKI-8167,79.0863382462,28.1351460218
fcbk,BKI-8168,81.0542106233,27.2849391424
fcbk,BKI-8169,81.0039356934,27.4835834118
fcbk,BKI-8170,80.9830478957,27.5109325528
fcbk,BKI-8171,80.8854833744,27.2706487138
fcbk,BKI-8172,80.9864740679,27.5073593091
fcbk,BKI-8173,82.5860593218,25.9185681814
fcbk,BKI-8174,82.5710874658,25.7435889191
fcbk,BKI-8175,82.4956744015,25.7912080062
zigzag,BKI-8176,86.9292174411,23.7041262594
fcbk,BKI-8177,79.0331435243,28.0039032479
fcbk,BKI-8178,80.7157106382,27.2118450834
fcbk,BKI-8179,79.1561206135,28.2291676267
fcbk,BKI-8180,79.0571610885,28.0012261587
fcbk,BKI-8181,78.9206990733,28.1309933363
fcbk,BKI-8182,79.2775900526,28.3000671276
fcbk,BKI-8183,78.932194567,28.202901559
fcbk,BKI-8184,78.898700154,28.1974583801
zigzag,BKI-8185,78.9908470568,28.0152236389
fcbk,BKI-8186,79.134540537,28.299949804
fcbk,BKI-8187,78.9208541373,28.1294311302
fcbk,BKI-8188,78.9302478312,28.1701994488
fcbk,BKI-8189,79.0935758259,27.9918279434
fcbk,BKI-8190,79.0527752259,28.0067308525
fcbk,BKI-8191,79.2797610282,28.3012821705
fcbk,BKI-8192,78.9353113188,28.3191815498
fcbk,BKI-8193,78.9291052576,28.1205327085
fcbk,BKI-8194,79.0115060835,28.3705115641
zigzag,BKI-8195,86.2119060072,26.5044425434
fcbk,BKI-8196,86.9929260141,23.7401961824
fcbk,BKI-8197,81.0561183248,27.2190908934
fcbk,BKI-8198,87.3606345117,23.7060273484
fcbk,BKI-8199,87.0807991183,23.6302588014
fcbk,BKI-8200,86.961116695,23.6322274418
fcbk,BKI-8202,80.8342289829,27.2952025915
fcbk,BKI-8203,80.9473782546,27.2823481984
zigzag,BKI-8204,80.7869723183,27.2782464139
fcbk,BKI-8205,82.5062013991,25.9258093065
fcbk,BKI-8206,79.0458156727,28.2538918722
fcbk,BKI-8207,79.0213483549,28.2275570345
fcbk,BKI-8208,79.1577950659,28.2411064761
fcbk,BKI-8209,79.1020487565,28.2585039291
fcbk,BKI-8210,82.6353958076,25.6634179824
fcbk,BKI-8211,79.038747932,28.3047575161
fcbk,BKI-8212,82.8152397063,25.9560665519
fcbk,BKI-8213,79.125854592,28.3335921538
fcbk,BKI-8214,79.0328129461,28.2608676412
fcbk,BKI-8215,79.2377055389,28.0370869139
fcbk,BKI-8216,79.0671259715,28.1820199459
fcbk,BKI-8217,79.2067346881,28.1086991623
zigzag,BKI-8218,78.9176871447,28.130823647
fcbk,BKI-8219,79.1656217208,28.2806499673
zigzag,BKI-8220,78.9445819736,28.114134626
fcbk,BKI-8221,79.2307646102,28.0043521747
fcbk,BKI-8222,78.9217123278,28.3180147168
fcbk,BKI-8223,79.1511394023,28.2151892324
fcbk,BKI-8224,79.2819081587,28.1906031968
fcbk,BKI-8225,78.9745099911,28.1013618155
fcbk,BKI-8226,80.9874296127,27.49227583
fcbk,BKI-8227,80.6648198188,27.3775776904
fcbk,BKI-8228,83.0797087517,26.9341642301
fcbk,BKI-8229,83.2793337802,26.8086514187
zigzag,BKI-8230,83.0821194609,26.9996893059
fcbk,BKI-8231,79.2814604035,28.2136674649
zigzag,BKI-8232,78.9733615367,28.0112111649
fcbk,BKI-8233,80.6584616747,27.5913606329
fcbk,BKI-8234,82.7492752719,25.7235479008
fcbk,BKI-8235,82.453226689,25.7664714239
fcbk,BKI-8236,83.1203728182,26.8867186558
fcbk,BKI-8237,83.0231251687,27.1189505193
fcbk,BKI-8238,80.8868161199,27.2764408795
fcbk,BKI-8239,80.8407498818,27.232136211
fcbk,BKI-8240,87.3332525169,23.9513514205
fcbk,BKI-8241,82.9731679943,26.998568776
fcbk,BKI-8242,87.2368027269,23.7599169794
fcbk,BKI-8243,87.0929994972,23.5821637511
zigzag,BKI-8244,88.6207711269,23.5835248751
fcbk,BKI-8245,86.9463913346,23.8436878227
fcbk,BKI-8246,87.2124345464,23.7316406416
fcbk,BKI-8247,87.1474743297,23.6726013763
fcbk,BKI-8248,87.0304793531,23.7463672727
fcbk,BKI-8249,87.0579875163,23.7216331467
fcbk,BKI-8250,79.1396777689,28.2957150565
fcbk,BKI-8251,79.0465964749,28.0306974061
fcbk,BKI-8252,78.861699396,28.2029994138
fcbk,BKI-8253,79.1054313082,28.1800003814
fcbk,BKI-8254,79.2361965837,28.0352709494
fcbk,BKI-8255,78.9981285054,28.0129427104
fcbk,BKI-8256,79.2416908714,28.3441236374
fcbk,BKI-8257,79.1464987618,28.2592094459
fcbk,BKI-8258,78.9346932331,28.1177164228
fcbk,BKI-8259,78.8631299516,28.2269967492
zigzag,BKI-8260,83.0927699212,26.8063685818
fcbk,BKI-8261,83.2616020152,27.0867307196
fcbk,BKI-8262,87.0143129175,23.5606357525
fcbk,BKI-8263,82.9659673429,27.0707513227
fcbk,BKI-8264,79.2328349513,28.3515119075
fcbk,BKI-8265,79.0176195788,28.2424702611
fcbk,BKI-8266,83.0131975034,26.821720372
fcbk,BKI-8267,79.2315634243,28.0371802626
fcbk,BKI-8268,79.1517897858,28.2178280167
fcbk,BKI-8269,82.9417321248,26.9098226315
fcbk,BKI-8270,83.0739371271,26.8980937184
fcbk,BKI-8271,79.1904741718,28.0897463651
fcbk,BKI-8272,78.9201951027,28.3189195043
fcbk,BKI-8273,79.1519025559,28.2468500168
zigzag,BKI-8274,79.2372049892,28.0360821965
fcbk,BKI-8275,79.0916965974,27.993266736
fcbk,BKI-8276,79.040822891,28.3046595073
zigzag,BKI-8277,79.1493424517,28.0119000104
zigzag,BKI-8278,88.6278571347,23.929397246
zigzag,BKI-8279,88.5228611285,23.7447672063
zigzag,BKI-8280,86.985989152,25.5495774052
fcbk,BKI-8281,83.2117578038,26.8194110503
zigzag,BKI-8282,87.1574636895,25.2203531557
fcbk,BKI-8283,79.1037837289,28.2448752228
fcbk,BKI-8284,79.1353524229,28.1070320709
fcbk,BKI-8285,79.0954520864,27.9955357996
fcbk,BKI-8286,79.0867454698,28.3327779177
fcbk,BKI-8287,78.8661962121,28.359067792
fcbk,BKI-8288,78.9136073178,28.2629186255
fcbk,BKI-8289,79.0689176772,28.0620109305
fcbk,BKI-8290,78.9201267345,28.1484655429
fcbk,BKI-8291,79.1235227343,28.2801951761
fcbk,BKI-8292,78.9236800024,28.1897597551
fcbk,BKI-8293,79.1528777404,28.206618824
fcbk,BKI-8294,79.0486727489,28.3001713139
zigzag,BKI-8295,79.2296057722,28.0390183566
fcbk,BKI-8296,79.2227524362,28.0391144844
zigzag,BKI-8297,88.4228743088,23.7314874718
zigzag,BKI-8298,88.4290246606,23.8189850032
zigzag,BKI-8299,83.2881846928,27.0911114596
zigzag,BKI-8300,79.093343228,28.1186150603
fcbk,BKI-8301,83.2071842116,27.1572127908
zigzag,BKI-8302,83.0973778672,27.0037796769
zigzag,BKI-8303,83.2442866103,27.1042037453
fcbk,BKI-8304,79.2209991419,28.0393742978
fcbk,BKI-8305,78.9958668311,28.3535146347
fcbk,BKI-8306,79.0954489442,27.9976866063
fcbk,BKI-8307,83.0348395656,26.8837036437
fcbk,BKI-8308,83.1969044699,27.1695331366
fcbk,BKI-8309,79.0954208642,28.1115067601
fcbk,BKI-8310,73.6356828638,29.6511947937
fcbk,BKI-8311,79.1550732963,28.2267848788
fcbk,BKI-8312,75.5946898051,28.879419004
fcbk,BKI-8313,73.7301996089,29.9053354335
fcbk,BKI-8314,73.78083551,29.8087639867
fcbk,BKI-8315,73.4673663166,29.8497300757
fcbk,BKI-8316,75.5752798929,29.0290571546
fcbk,BKI-8317,75.5717690265,29.0606073708
fcbk,BKI-8318,75.5787923771,29.0288945486
fcbk,BKI-8320,75.5695973119,29.0515496133
fcbk,BKI-8321,75.5778098717,29.0274135295
fcbk,BKI-8322,75.6227584315,29.1140611905
fcbk,BKI-8323,75.462547336,29.1297707611
fcbk,BKI-8324,75.3207666934,29.0958543223
fcbk,BKI-8325,75.5974282462,28.9796326376
fcbk,BKI-8326,82.9966458933,26.928040915
fcbk,BKI-8327,73.4867692649,29.8408961383
fcbk,BKI-8328,87.0503295392,23.6194546789
fcbk,BKI-8329,87.1058402898,23.6382804975
fcbk,BKI-8330,75.6029396222,28.9825161631
fcbk,BKI-8332,75.5154311549,29.0200009534
fcbk,BKI-8335,87.1704650598,23.6770308162
zigzag,BKI-8337,82.9377932354,25.3981687411
fcbk,BKI-8338,83.0724724269,25.1991291412
zigzag,BKI-8339,82.9229723834,25.3947857201
fcbk,BKI-8340,87.0854265499,23.6945394746
fcbk,BKI-8341,87.1890778553,25.2220921713
fcbk,BKI-8342,87.0579299558,25.4834025258
fcbk,BKI-8343,80.6496612542,27.4175969268
zigzag,BKI-8344,82.9845939072,25.4356109826
fcbk,BKI-8345,83.1616743785,25.5423043698
fcbk,BKI-8346,83.3100045029,25.3768776398
fcbk,BKI-8347,88.5987071559,22.3338034524
zigzag,BKI-8348,88.6559306689,22.6266248027
zigzag,BKI-8349,88.5390011857,22.6285315813
zigzag,BKI-8350,88.33505998,22.665139558
zigzag,BKI-8351,88.6707377768,22.6088344734
fcbk,BKI-8352,88.654559936,22.6271956582
fcbk,BKI-8353,88.3331903284,22.6617410869
fcbk,BKI-8354,88.5704343717,22.5887673881
zigzag,BKI-8355,88.333611479,22.6640916919
zigzag,BKI-8356,88.6719524267,22.6067528678
fcbk,BKI-8357,88.6095377709,22.6892783413
zigzag,BKI-8358,88.5349253103,22.6352156088
fcbk,BKI-8359,88.7036762187,22.5237065623
zigzag,BKI-8360,88.6073795867,22.6910145579
fcbk,BKI-8361,88.6862761537,22.4512373969
fcbk,BKI-8362,88.5368396829,22.6251565309
zigzag,BKI-8363,88.6708438189,22.4482585402
fcbk,BKI-8364,88.6093543274,22.6886167337
zigzag,BKI-8365,88.5700900514,22.6225372947
zigzag,BKI-8366,88.6094994842,22.6917926599
zigzag,BKI-8367,88.5990963832,22.3816711631
fcbk,BKI-8368,88.5944749263,22.6178141396
fcbk,BKI-8369,88.5950641179,22.7081006659
fcbk,BKI-8370,88.6188218231,22.6301771875
zigzag,BKI-8371,85.0511760281,25.859266915
fcbk,BKI-8372,80.7913029013,27.3736053833
fcbk,BKI-8373,80.9413155756,27.5596135405
fcbk,BKI-8374,80.8239123502,27.2759671522
fcbk,BKI-8375,88.2418348108,22.5214718653
fcbk,BKI-8376,87.9323831985,22.3212010963
fcbk,BKI-8377,82.9877593566,26.9995407008
fcbk,BKI-8378,83.1084961896,27.0455643905
zigzag,BKI-8379,83.0051496227,27.1135285273
zigzag,BKI-8380,84.9656693667,25.6563667944
zigzag,BKI-8381,84.8292540023,25.8555011893
zigzag,BKI-8382,85.0580560174,25.8288335049
zigzag,BKI-8383,84.9710114473,25.660241016
fcbk,BKI-8384,82.9916708456,27.0464094346
fcbk,BKI-8385,82.9274036294,26.9499713554
fcbk,BKI-8387,82.9297215052,27.1522635086
zigzag,BKI-8388,83.1212210805,26.9848692152
fcbk,BKI-8389,83.0529806443,26.8684974204
zigzag,BKI-8390,83.0059471939,26.9236056562
fcbk,BKI-8391,83.2905403556,26.9852836597
fcbk,BKI-8392,83.0380470863,26.8344159005
zigzag,BKI-8393,83.3144753888,27.0460635595
fcbk,BKI-8394,83.0896819451,27.0646836071
fcbk,BKI-8395,83.1165201691,26.9931216632
fcbk,BKI-8396,82.985816549,26.8620865305
fcbk,BKI-8397,82.8913148693,26.8011439794
fcbk,BKI-8398,83.0729327094,26.8353863645
fcbk,BKI-8399,82.9713827877,26.9216810711
fcbk,BKI-8400,83.1936763157,25.256119563
fcbk,BKI-8401,82.905711405,25.4600386072
fcbk,BKI-8402,83.2699148786,25.5637429043
fcbk,BKI-8406,88.3050634379,23.0616647213
fcbk,BKI-8407,88.4166312766,22.8520019168
zigzag,BKI-8408,88.4347947646,22.7670482251
zigzag,BKI-8409,88.44424133,22.7691947556
fcbk,BKI-8411,86.831701285,23.7070223688
zigzag,BKI-8413,88.4498396155,23.053734088
zigzag,BKI-8414,88.4513074128,23.0514660196
zigzag,BKI-8415,88.4680046223,22.7498287966
fcbk,BKI-8416,88.3665202856,22.9555146982
zigzag,BKI-8417,88.2738853336,22.8197196765
zigzag,BKI-8418,88.3796125582,22.8683798357
zigzag,BKI-8419,88.3581590589,22.9325506474
zigzag,BKI-8420,88.5784001975,22.9662844174
fcbk,BKI-8421,82.2692372116,27.1419193684
fcbk,BKI-8422,82.4219438574,27.0981949683
fcbk,BKI-8426,78.8423661063,29.1069233315
fcbk,BKI-8427,79.2064320668,28.7938861838
fcbk,BKI-8428,78.87576681,29.0035020608
zigzag,BKI-8429,83.144757384,25.3069489441
zigzag,BKI-8430,83.2000475302,25.3985049721
zigzag,BKI-8431,83.1378960886,25.5309116233
fcbk,BKI-8432,79.1698986503,28.7798521622
fcbk,BKI-8433,79.2256076354,28.829673932
fcbk,BKI-8434,78.8865134066,29.0259980582
fcbk,BKI-8435,79.1937868514,28.829010221
fcbk,BKI-8436,79.2220425084,28.8057615802
fcbk,BKI-8437,78.9293291402,28.8380101003
fcbk,BKI-8438,79.2381906047,28.8432233287
fcbk,BKI-8439,78.9033500748,28.8602503808
fcbk,BKI-8440,78.9068371163,28.9883061325
fcbk,BKI-8441,79.1019363752,28.8718992442
fcbk,BKI-8442,79.2473425198,28.8562591531
fcbk,BKI-8443,78.9156908519,28.853384316
zigzag,BKI-8444,79.2175809841,28.8226920085
fcbk,BKI-8445,79.1735788557,29.0807152645
zigzag,BKI-8446,79.2390325996,28.786133698
fcbk,BKI-8447,79.0577828241,28.9356832591
fcbk,BKI-8448,79.1963577844,28.827325427
fcbk,BKI-8449,78.8867187837,28.8490287834
zigzag,BKI-8450,78.8650854221,29.1392121689
fcbk,BKI-8451,83.2614557622,25.2319068626
fcbk,BKI-8452,82.9374373594,25.4424251222
fcbk,BKI-8453,78.9176811443,28.8657154167
fcbk,BKI-8454,78.9739855747,28.9072903529
fcbk,BKI-8455,79.2387777555,28.8523920826
fcbk,BKI-8456,78.9791277287,28.9408552365
fcbk,BKI-8457,78.9867432815,28.8954217548
zigzag,BKI-8460,88.4529758423,24.089305604
zigzag,BKI-8461,88.509568371,24.1103853758
fcbk,BKI-8462,88.662557155,24.1137467895
fcbk,BKI-8463,80.3681495137,27.4410842742
fcbk,BKI-8464,83.1810174161,25.4336370821
zigzag,BKI-8468,75.9253166403,29.3062332133
fcbk,BKI-8469,76.0992726637,29.3559830261
fcbk,BKI-8470,80.2620999709,27.3529478869
fcbk,BKI-8471,80.5997686097,27.5357284419
fcbk,BKI-8472,80.5538435687,27.4526456035
fcbk,BKI-8473,80.6039628343,27.1956422766
fcbk,BKI-8474,80.6461898235,25.8719988017
fcbk,BKI-8475,80.4118382565,27.3150774025
fcbk,BKI-8476,80.2596201185,27.4405362596
fcbk,BKI-8477,80.5771389718,27.5127468729
zigzag,BKI-8478,80.2304839741,27.3505971197
fcbk,BKI-8479,80.5313997582,27.4516848749
fcbk,BKI-8480,80.1934415182,27.3084014063
fcbk,BKI-8481,80.2123860354,27.2236875946
fcbk,BKI-8482,80.536851676,27.2289984847
fcbk,BKI-8483,80.2791000582,27.5172440691
fcbk,BKI-8484,80.3111835925,27.440049483
fcbk,BKI-8485,80.5301055154,27.3667629457
zigzag,BKI-8486,80.2620206179,27.488665308
fcbk,BKI-8487,73.6684856586,29.9549762667
fcbk,BKI-8488,73.8664428655,30.0141609513
fcbk,BKI-8495,79.3879444632,26.5974979047
zigzag,BKI-8496,83.037355606,25.213189395
fcbk,BKI-8497,79.5534319754,26.4222054508
fcbk,BKI-8498,79.5878533267,26.3972435381
fcbk,BKI-8499,79.5542517108,26.575468643
fcbk,BKI-8500,80.7451361323,25.7477847773
zigzag,BKI-8501,80.8463940445,25.841444212
zigzag,BKI-8502,83.2008630125,26.8306896516
fcbk,BKI-8503,79.5319803454,26.561635125
fcbk,BKI-8504,79.412229346,26.6042584694
zigzag,BKI-8505,79.5641780955,26.4182316776
fcbk,BKI-8506,79.3970831025,26.5428575504
fcbk,BKI-8507,79.6782288655,26.4290460252
fcbk,BKI-8508,79.4757316441,26.7796090394
fcbk,BKI-8509,79.437154897,26.5834558818
fcbk,BKI-8510,79.5685213214,26.6897226257
fcbk,BKI-8511,79.3833733956,26.6515985735
zigzag,BKI-8512,83.0990720581,25.4175052914
fcbk,BKI-8513,83.0564590012,25.5087873597
zigzag,BKI-8514,83.0770873829,25.4482298633
zigzag,BKI-8515,82.9031570455,25.3416093073
fcbk,BKI-8516,79.6893498347,26.6457479966
fcbk,BKI-8517,79.5797963594,26.3927788966
fcbk,BKI-8518,79.5400174652,26.5039907158
fcbk,BKI-8519,79.4140095607,26.5607137437
fcbk,BKI-8520,79.3836498975,26.5323782211
fcbk,BKI-8521,79.4036790954,26.5379157396
fcbk,BKI-8522,79.5645175147,26.4085746602
fcbk,BKI-8523,79.6809733668,26.6405668331
fcbk,BKI-8524,79.5588109523,26.4261884661
fcbk,BKI-8525,79.5925318721,26.5151466148
fcbk,BKI-8526,79.5322462101,26.4452645042
fcbk,BKI-8527,79.5160184418,26.7714476887
fcbk,BKI-8528,79.4937178949,26.4993572489
fcbk,BKI-8529,79.4480028671,26.4997917912
fcbk,BKI-8530,79.7118760763,26.6504742259
fcbk,BKI-8531,79.2966924576,26.5829950675
fcbk,BKI-8532,82.9942045522,25.1814343325
fcbk,BKI-8533,79.3468774467,26.6886664763
fcbk,BKI-8534,79.5573163063,26.4218538553
fcbk,BKI-8535,79.2820982511,26.5813440937
fcbk,BKI-8536,79.5806986241,26.4120247293
fcbk,BKI-8537,79.2873505372,26.5731773353
fcbk,BKI-8538,79.2939627828,26.7293817655
fcbk,BKI-8539,79.6318243853,26.6846947182
fcbk,BKI-8540,79.3695063795,26.7427039037
fcbk,BKI-8541,79.5612894514,26.4168579076
fcbk,BKI-8542,79.6631394225,26.6520248934
fcbk,BKI-8543,79.4007211422,26.5012892698
fcbk,BKI-8544,79.3881778211,26.6568404112
fcbk,BKI-8545,79.3253301475,26.5486292016
fcbk,BKI-8546,79.3898766965,26.6434327624
fcbk,BKI-8547,82.9297566081,26.8612603932
fcbk,BKI-8548,83.1014131222,27.0197122681
zigzag,BKI-8549,83.1420752058,25.3953861256
fcbk,BKI-8550,82.8757130491,25.192690807
zigzag,BKI-8551,83.04169601,25.5527101316
fcbk,BKI-8552,86.8926176048,22.7205485536
fcbk,BKI-8553,86.8008781708,22.933938157
fcbk,BKI-8554,86.866019453,23.0732304412
fcbk,BKI-8555,86.9158487888,22.8429050494
fcbk,BKI-8558,79.7019283917,26.7282233272
fcbk,BKI-8559,79.3412394841,26.5439762047
fcbk,BKI-8560,79.431959204,26.4920867653
fcbk,BKI-8561,79.5354269364,26.4418863269
fcbk,BKI-8562,83.2115781872,27.1633471548
zigzag,BKI-8563,83.2001282751,26.8682472491
fcbk,BKI-8564,79.68429251,26.4895542711
fcbk,BKI-8565,83.1085845106,26.8542873296
fcbk,BKI-8566,79.4433117602,26.4942454587
fcbk,BKI-8567,79.2873590882,26.5847762198
fcbk,BKI-8568,83.1060288381,27.0232097719
fcbk,BKI-8569,82.9254950684,26.9593354725
